Column1,Column12,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
R,2,8.46642,0.0287602,-3.04035,1.47701E+15,8.6,0.25,-3.00029,0
L,1,8.44818,0.251553,,1.47701E+15,8.45,0.25,-3.00027,0
R,2,8.57101,0.0282318,-0.0105258,1.47701E+15,8.45,0.25,0,0
L,1,8.45582,0.253997,,1.47701E+15,8.45,0.25,0,0
R,2,8.42927,0.0301427,-1.85813,1.47701E+15,8.35,0.25,-1.81979,0
L,1,8.23962,0.24916,,1.47701E+15,8.25,0.25,-1.81978,0
R,2,7.9351,0.0237437,-3.81077,1.47701E+15,8.05,0.2,-3.99976,-0.99994
L,1,7.84073,0.159858,,1.47701E+15,7.85,0.15,-3.99972,-0.99993
R,2,7.61428,0.0204653,-3.22052,1.47701E+15,7.7,0.15,-2.99982,0
L,1,7.54016,0.159641,,1.47701E+15,7.55,0.15,-2.99982,0
R,2,7.50876,0.0127032,-1.89765,1.47701E+15,7.45,0.100001,-1.8165,-0.908239
L,1,7.3426,0.0345312,,1.47701E+15,7.35,0.0500011,-1.81648,-0.90823
R,2,7.20598,0.000683772,-2.79536,1.47701E+15,7.2,9.49949E-07,-2.72851,-0.909507
L,1,7.05406,-0.0533413,,1.47701E+15,7.05,-0.0499992,-2.72849,-0.909499
R,2,6.74737,-0.0212224,-1.67069,1.47701E+15,6.95,-0.15,-1.81898,-1.81898
L,1,6.84972,-0.258748,,1.47701E+15,6.85,-0.25,-1.81896,-1.81897
R,2,6.67866,-0.0519302,-2.02379,1.47701E+15,6.75,-0.349999,-2.00076,-2.00075
L,1,6.64329,-0.462604,,1.47701E+15,6.65,-0.449999,-2.00076,-2.00075
R,2,6.63205,-0.0840904,-0.81497,1.47701E+15,6.6,-0.549999,-0.998836,-1.99769
L,1,6.56029,-0.650892,,1.47701E+15,6.55,-0.65,-0.99884,-1.99769
R,2,6.46217,-0.130812,-0.356062,1.47701E+15,6.5,-0.85,-0.908747,-3.63498
L,1,6.45805,-1.05268,,1.47701E+15,6.45,-1.05,-0.908739,-3.63494
R,2,6.49021,-0.179219,-1.23944,1.47701E+15,6.35,-1.15,-1.81897,-1.81898
L,1,6.25499,-1.25007,,1.47701E+15,6.25,-1.25,-1.81896,-1.81896
R,2,6.59968,-0.226407,1.73835,1.47701E+15,6.3,-1.45,0.909739,-3.63894
L,1,6.36328,-1.65656,,1.47701E+15,6.35,-1.65,0.909727,-3.63891
R,2,6.57796,-0.279439,-0.211523,1.47701E+15,6.3,-1.8,-0.999494,-2.9985
L,1,6.24641,-1.95075,,1.47701E+15,6.25,-1.95,-0.999489,-2.99847
R,2,6.66141,-0.322252,1.75689,1.47701E+15,6.3,-2.1,0.999984,-2.99994
L,1,6.34644,-2.23829,,1.47701E+15,6.35,-2.25,0.999979,-2.99994
R,2,6.76596,-0.36264,0.855484,1.47701E+15,6.35,-2.4,0,-2.72613
L,1,6.34927,-2.55175,,1.47701E+15,6.35,-2.55,0,-2.72611
R,2,6.98232,-0.399959,1.89805,1.47701E+15,6.4,-2.7,0.909499,-2.72851
L,1,6.43257,-2.84245,,1.47701E+15,6.45,-2.85,0.909503,-2.72851
R,2,7.12938,-0.43502,1.4149,1.47701E+15,6.45,-3,0,-2.99754
L,1,6.44119,-3.14955,,1.47701E+15,6.45,-3.15,0,-2.99754
R,2,7.31886,-0.470836,2.21289,1.47701E+15,6.5,-3.3,0.910402,-2.7312
L,1,6.5453,-3.45745,,1.47701E+15,6.55,-3.45,0.910402,-2.7312
R,2,7.5456,-0.49614,2.70911,1.47701E+15,6.65,-3.6,1.81722,-2.72583
L,1,6.76011,-3.75457,,1.47701E+15,6.75,-3.75,1.81721,-2.72581
R,2,7.884,-0.521437,2.20619,1.47701E+15,6.8,-3.9,0.907988,-2.72396
L,1,6.85997,-4.05805,,1.47701E+15,6.85,-4.05,0.907976,-2.72393
R,2,8.04387,-0.547179,2.23987,1.47701E+15,6.9,-4.2,0.909334,-2.72801
L,1,6.94332,-4.34473,,1.47701E+15,6.95,-4.35,0.90933,-2.72799
R,2,8.3635,-0.567708,1.67528,1.47701E+15,7,-4.45,0.910054,-1.8201
L,1,7.04099,-4.55018,,1.47701E+15,7.05,-4.55,0.910054,-1.8201
